original,convert
ngajuin,mengajukan
pinjol,pinjaman online
mutu,mutu
aneh,aneh
ilmu,ilmu
pengalaman,pengalaman
jg,juga
uninstal,copot
notifikasi,notifikasi
kekinian,kekinian
sgt,sangat
dgn,dengan
jakitrmksh,jaki terimakasih
instalnya,pasangnya
wahh,wah
sekalii,sekali
aku,aku
skali,sekali
bnget,banget
ayo,ayo
bagi,bagi
dua,dua
lihat,lihat
kinerjanya,kinerjanya
pertahnkan,pertahankan
sayaterima,saya terima
parahbaru,parah baru
sy,saya
melapor,melapor
tak,tidak
bsa,bisa
mengirim,mengirim
sebab,karena
tau,tahu
bbrp,beberapa
nort,nomor rt
tlng,tolong
mebantu,membantu
vaksinnya,vaksinnya
siapjangan,siap jangan
nyuruh,menyuruh
sdh,sudah
limited,limited
edition,edition
baguuuuuus,bagus
buruan,segera
simple,sederhana
uptodate,terkini
wow,wow
penyebar,penyebar
hoax,kebohongan
menuduh,menuduh
bukti,bukti
perjelas,perjelas
cara,cara
downloadnya,downloadnya
ceritanya,ceritanya
pertama,pertama
agak,terlalu
jaksurveynya,jaksurveynya
khususnya,khususnya
unduh,unduh
e,e
sppt,sppt
pbb,pbb
kode,kode
kouta,kouta
sampah,sampah
malware,malware
jaksurvey,jaksurvey
minbagaimana,admin bagaimana
dulu,dulu
rejected,ditolak
abal,palsu
analisanya,analisanya
salah,salah
masukin,memasukan
nmr,nomor
hp,hp
goodbener,bagus sekali
singkron,sinkron
liat,lihat
pergunakan,pergunakan
boking,booking
sepak,sepak
bola,bola
sho,sho
pasti,pasti
test,tes
cekin,cek
tulis,tulis
nik,nik
caranya,caranya
dikasih,diberikan
taik,tai
promosi,promosi
tetap,tetap
berhati,berhati
jaga,jaga
kebersihan,kebersihan
pakai,pakai
masker,masker
mengapa,mengapa
beda,beda
domisili,domisili
ratingnya,ratingnya
siapa,siapa
sini,disini
suruh,suruh
tanggal,tanggal
kocak,kocak
koq,kenapa
melulu,selalu
cobatapi,coba tapi
keliatannya,kelihatannya
nyesel,menyesal
auto,auto
unistall,copot
alasan,alasan
maaf,maaf
sungguh,sungguh
kayak,kayak
gubernur,gubernur
alhamdulillah,alhamdulillah
ketiga,ketiga
berkat,berkat
pagi,pagi
malam,malam
apikasijaki,apikasi jaki
membantusaya,membantu saya
berterimakasih,berterimakasih
gajelas,tidak jelas
diklik,diklik
cupu,cupu
dalammencari,dalam mencari
trkini,terkini
ngaco,asal
bangga,bangga
toa,toa
awam,awam
jakclmkotidak,jakclm kenapa tidak
rencana,rencana
kedepan,kedepan
jak,jak
semoga,semoga
dimanfaatkan,dimanfaatkan
bijak,bijak
menghilang,menghilang
icon,icon
sekarang,sekarang
nol,nol
cocok,cocok
isinya,isinya
covid,covid
kreatif,kreatif
lima,lima
penduduk,penduduk
masyarakatsemoga,masyarakat semoga
penuhgmn,penuh bagaimana
cepu,cepu
kesel,kesal
ngelag,ngelag
bangettt,banget
jd,jadi
review,review
mohon,mohon
bantuannya,bantuannya
apliksi,aplikasi
bagusmembantu,bagus membantu
jakartaterima,jakarta terima
wkwkwk,wkwkwk
cakepvaksin,cakep vaksin
mulai,mulai
testnya,tes nya
menyelesaikan,menyelesaikan
programku,programku
terpantau,terpantau
seputar,seputar
manusianya,manusianya
robot,robot
nyaa,nya
ngak,tidak
gimnaa,bagaimana
gmn,bagaimana
sakit,sakit
jakiihelp,jaki tolong
donk,tolong
itu,itu
dukung,dukung
kekurangannya,kekurangannya
cacat,cacat
gara,gara
pecat,pecat
dr,dari
kerjaan,kerjaan
gra,karena
upload,upload
kerumunan,kerumunan
begini,begini
pilihan,pilihan
hilang,hilang
paraaahhhhh,parah
biroksasigk,birokrasi tidak
jls,jelas
euy,euy
ngebug,kesalahan
anj,anjing
emosi,emosi
nau,nau
ikutan,ikutan
numero,nomor
uno,satu
jagat,jagat
raya,raya
kotanya,kotanya
warganya,warganya
muter,memutar
doank,saja
tercepat,tercepat
trimakasih,terimakasih
rempat,tempat
knpa,kenapa
internet,internet
petamburan,penaburan
cakep,bagus
jakarte,jakarta
tesnya,tesnya
jkt,jakarta
presensi,presensi
pns,pns
very,very
menunggu,menunggu
disiplin,disiplin
penggunaan,penggunaan
sosial,sosial
difinsing,difinsing
bingung,bingung
merasa,merasa
bangun,bangun
perbarui,perbaharui
makin,semakin
membingungkan,membingungkan
ktp,ktp
daerah,daerah
kedua,kedua
beberapa,beberapa
opsi,opsi
akhirnya,akhirnya
jadwal,jadwal
petugasnya,petugasnya
malas,malas
kerjafoto,kerja foto
buktinya,buktinya
hidup,hidup
gampang,gampang
pengaduan,pengaduan
alihkan,alihkan
amit,jangan sampai
lemotnya,lemotnya
diperbaikin,diperbaiki
jakimantap,jaki mantap
betul,betul
weii,weii
mobil,mobil
kemana,kemana
kel,kelurahan
pondok,pondok
kopi,kopi
memuaskan,memuaskan
permudah,permudah
absen,absen
wfh,kerja dari rumah
dibutuhkan,dibutuhkan
sertifikasi,sertifikasi
menjadi,menjadi
terbuka,terbuka
lanjutkan,lanjutkan
membawa,membawa
manfaat,manfaat
bilang,katakan
amanwah,amanah
berkopeten,berkompeten
blass,blass
q,ku
ha,ha
bngt,banget
pertahankan,pertahankan
url,url
gda,tidak ada
letak,letak
nyaudah,nya sudah
ketemu,ditemukan
ketmu,ditemukan
bgmna,bagaimana
konfirmasinya,konfirmasinya
terealisasikan,terealisasikan
sinkron,sinkron
liatin,lihat
drtd,dari tadi
gimna,bagaimana
syukron,syukron
kasiran,kasiran
pesat,pesat
sebelah,sebelah
downloady,downloadnya
juara,juara
nasional,nasional
kapan,kapan
boster,booster
cb,coba
lg,lagi
alhmdllh,alhamdullilah
kerennn,keren
anis,anies
alhamdulilah,alhamdullilah
alhamdulillahjaki,alhamdulillah jaki
manfaatnya,manfaatnya
mantaaap,mantap
tercinta,tercinta
terintegrasi,terintegrasi
kalibata,kalibata
tengah,tengah
terakses,terakses
gratis,gratis
daftat,daftar
hadeww,aduh
dikli,dikali
survai,survei
memberi,memberi
penangananya,penangananya
abalabal,palsu
gangu,ganggu
ikut,ikut
menilai,menilai
aparatur,aparatur
mantappp,mantap
buatan,buatan
krn,karena
akunjaki,akun jaki
nunggu,menunggu
surveynya,surveynya
diatas,diatas
jackclm,jakclm
hapus,hapus
joka,jaki
juku,jaki
gan,gan
berkah,berkah
gila,gila
kemudahan,kemudahan
tank,tank
dibilang,katanya
hahahahaaha,haha
jaksurveinya,jaksurveinya
cm,cuma
saja,saja
menurut,menurut
skor,skor
gaje,gak jelas
njir,njir
sagat,sangat
dosis,dosis
pantau,pantau
applikasi,aplikasi
fiturnya,fiturnya
slalu,selalu
kuotanya,kuotanya
ah,ah
habis,habis
lu,lu
sklm,sklm
berhasil,berhasil
kolom,kolom
kelamin,kelamin
dll,dan lainnya
gaada,gak ada
kmna,kemana
menerima,menerima
isimilih,isi memilih
berikutnya,berikutnya
mencuri,mencuri
jumlah,jumlah
suara,suara
pilpres,pemilihan presiden
yeee,ya
aman,aman
memonitor,memonitor
ditindak,ditindak
kesini,kesini
bisakah,bisakah
melaporkan,melaporkan
gelandangan,gelandangan
tai,tai
usah,perlu
pd,pada
mdhn,semoga
