original,convert
sumbernya,sumbernya
diaksesmau,diakses mau
kemensos,kemensos
setempat,setempat
hmpir,hampir
pekerja,pekerja
set,set
melengkapi,melengkapi
berbulan,berbulan
fungsbagian,fungsi bagian
loyo,lelah
hayalan,khayalan
klu,kalau
lbih,lebih
hank,macet
boa,bagis
edan,gila
mereun,menginspirasi
tanggepan,tanggapan
amatpercuma,amat percuma
hamur,hamur
butuhkan,butuhkan
appnyasesuai,aplikasinya sesuai
hrapan,harapan
keluh,keluh
kesah,kesah
masyarakatnya,masyarakatnya
mngetahui,mengetahui
komplain,komplain
jawaban,jawaban
sesama,sesama
relawan,relawan
mudahmudahan,semoga
mengadu,mengadu
final,final
kangwalau,kang walau
tampilanya,tampilanya
frendly,ramah
peningkatan,peningkatan
yaaaslalu,ya selalu
manusiawi,manusiawi
pegawai,pegawai
busukudah,busuk sudah
sekaliiiii,sekali
itnya,itnya
semangattttt,semangat
tempatku,tempatku
ngedata,pendataan
poto,foto
kepala,kepala
keluargadi,keluarga di
bisaniat,bisa niat
terlambat,terlambat
banding,banding
enggaknya,setidaknya
mngajukan,mengajukan
smpai,sampai
aplk,aplikasi
tmbah,tambah
ruang,ruang
responsibility,pertanggungjawaban
terusselalu,terus selalu
panutan,panutan
contoh,contoh
lopyu,cinta kamu
odp,odp
pdp,pdp
ajak,mengajak
kabupatentlg,kabupaten tolong
konsistem,konsisten
lahh,kenapa
aplikasinyaa,aplikasinya
sangatt,sangat
yaujung,ya ujung
diweb,di web
ngeceksekarang,mengecek sekarang
tmbh,tambah
goodlumayan,bagus lumayan
segenap,segenap
pemeritahan,pemeritahan
tanggapsemoga,tanggap semoga
bermampaat,bermanfaat
ajsesnya,aksesnya
kepastian,kepastian
huftt,aduh
keras,keras
cobaan,cobaan
dilingkungan,di lingkungan
hotline,hotline
balas,balas
siurtidak,siur tidak
asal,asal
nembak,menembak
nakut,menakuti
hai,hai
adminuntuk,admin untuk
pengiriman,pengiriman
kumaha,bagaimana
atuhhhh,ya
belu,belum
keterima,diterima
sblm,sebelum
puasa,puasa
lebaran,lebaran
hufffff,aduh
mengetikaduan,mengetik aduan
palsu,palsu
jwbn,jawaban
appun,apapun
perhatikan,perhatikan
masarkat,masyarakat
dibuat,dibuat
bertentangan,bertentangan
jiayou,ayo
sangatta,sangat
jangn,jangan
ragu,ragu
sekalih,sekali
mantapbisa,mantap bisa
kg,tidak
kemauan,keinginan
diinstal,dipasang
diulang,diulang
berkelanjutan,berkelanjutan
continous,berkelanjutan
improvment,peningkatan
luaskhususnya,luas khususnya
masyarat,masyarakat
cov,covid
kewaspadaan,kewaspadaan
thd,terhadap
terinfeksibiar,terinfeksi biar
waspadasiapa,waspada siapa
updatetimnya,update timnya
membantuuntuk,membantu untuk
kampung,kampung
seindonesia,seindonesia
dbagiinkok,dibagiin
uda,sudah
dipersulitkan,dipersulitkan
menggunaknnya,menggunakannya
ayooo,ayo
bagikan,bagikan
dapatkanapa,dapatkan apa
kelaparan,kelaparan
terhadap,terhadap
terang,terang
dipertanggung,dipertanggung
jawabkan,jawabkan
informasu,informasi
menbantu,membantu
cemas,cemas
gurbernur,gubernur
byk,banyak
ttp,tetap
gubris,sampah
signifikan,signifikan
terpadu,terpadu
ios,ios
kpn,kapan
nangung,tanggung
keluarin,keluarkan
menghindari,menghindari
isuisu,isu isu
nyacukup,cukup
membaca,membaca
hampir,hampir
hindarkan,hindarkan
mewabah,mewabah
adaya,adanya
berdomisili,berdomisili
smnggu,semnggu
bntuan,bantuan
mkn,makan
orng,orang
mampu,mampu
tangguh,tangguh
mempeoreh,memperoleh
donlot,download
apilikasi,aplikasi
area,area
tetao,tetap
kalibansos,kali bansos
bagusrugi,bagus rugi
downloadtrims,download terimakasih
aplikasinyasungguh,aplikasinya sungguh
bangetfitur,banget fitur
pencegahan,pencegahan
penularan,penularan
responprcuma,respon percuma
jgabgini,juga bgini
nasib,nasib
proaktif,proaktif
detil,rinci
kabupatenberat,kabupaten berat
pembodohan,pembodohan
public,publik
inpormasi,informasi
dam,dan
berinteraksi,berinteraksi
bales,balas
read,baca
bulsyit,omong kosong
bansossaya,bansos saya
kena,terkena
dampaknya,dampaknya
nganggur,menganggur
seperakpun,seperakpun
atuh,ya
self,diri sendiri
diagnose,diagnosa
tanga,tangan
mantan,mantan
mertua,mertua
walau,walau
staf,staf
ahli,ahli
liyer,liyer
dengn,dengan
tertindas,tertindas
terkutuklah,terkutuklah
negeri,negeri
sampurasun,selamat tinggal
pusing,pusing
bangkrut,bangkrut
usahaku,usahaku
detik,detik
apapunsedikitpun,apapun sedikitpun
dikenal,dikenal
responya,responnya
blum,belum
nyatasaya,nyata saya
lebi,lebih
teruskeburu,terus keburu
membantumudah,membantu mudah
allah,allah
taala,ala
turunkan,turunkan
berdoa,berdoa
istighfar,istighfar
balasannya,balasannya
dpet,dapat
yak,yak
koruptor,koruptor
suci,suci
anjeng,anjing
pekembangan,pekembangan
diteliti,diteliti
aqy,aku
cianjut,cianjur
jbar,jabar
amen,amin
diresponpadahal,direspon padahal
sunda,sunda
pemerntah,pemerntah
brupa,berupa
kecuali,kecuali
krna,karena
ats,ats
masya,masya
gusti,gusti
kasian,kasihan
kpd,kepada
sape,siapa
tuntas,tuntas
pkh,apakah
tahun,tahun
bkn,bukan
b,b
erapa,berapa
cakup,cakup
ajapengaduan,saja pengaduan
gubrismasih,sampah masih
bagussemoga,bagus semoga
acc,diterima
lanjutii,lanjuti
ajada,saja
tdak,tidak
dusun,dusun
miskin,miskin
pndataan,pendataan
biodata,biodata
mlh,malah
kluar,keluar
krang,sekarang
mgerti,mengerti
mngunakan,menggunakan
initapi,ini tapi
nyaini,nya ini
pernh,pernah
dft,dapat
tekad,tekad
ikhtiar,upaya
penanggulanga,penanggulangan
musibah,musibah
bnr,benar
sni,sini
slah,salah
wkwkwkwk,wkwkwk
kmren,kemarin
jayamemberikan,jaya memberikan
bg,bagi
aturan,aturan
gaka,tidak
kejelasan,kejelasan
dsini,disini
jwabn,jawaban
adil,adil
boro,boro
bantuanberas,bantuan beras
uangpadahal,uang padahal
triliunan,triliunan
perak,perak
blom,belum
melayani,melayani
mmbikin,membuat
basa,basa
mendapakannya,mendapatkannya
pemersatu,pemersatu
kuh,kuh
cerdas,cerdas
guud,bagus
assalamualaikumcara,assalamualaikum cara
mengecek,mengecek
mnapa,mengapa
ahh,ah
ges,kawan
saminggu,seminggu
anger,anger
aah,ah
tntg,tentang
modelnya,modelnya
pinjaman,pinjaman
yahhh,yah
cagung,canggung
ngaduin,mengadukan
diaduin,diaduin
alloh,allah
swt,swt
bpak,bapak
cerita,cerita
berhubungan,berhubungan
konpres,konpres
meratasy,merata saya
buruh,buruh
pabrik,pabrik
diliburkan,diliburkan
pribadi,pribadi
rantau,rantau
malaysia,malaysia
sukamakmur,sukamakmur
sukadamai,sukadamai
bagusuntuk,bagus untuk
jabarsemoga,jabar semoga
dn,dan
dayah,dayah
sumedang,sumedang
rancakalong,rancakalong
sukajaya,sukajaya
bntuany,bantuannya
kyk,seperti
bntar,sebentar
kpan,kapan
kuroptor,koruptor
ribu,ribu
potong,potong
jompo,jompo
trlntr,terlantar
amdin,admin
isolasi,isolasi
semuaaamiin,semua amin
ass,ass
maf,maf
sblum,sebelum
trhormat,terhormat
prnh,pernah
mndptkn,mendapatkan
apapn,apapun
laju,laju
andaaa,anda
tiiiidak,tidak
bpumm,bpum
taiiii,tai
llluuuu,lu
ajiiiggggg,anjing
kepedulian,kepedulian
terdengar,terdengar
teamoga,semoga
kritis,kritis
bahas,bahas
emngatasinya,mengatasinya
lainilma,lain
poako,poako
kentang,kentang
jngn,jangan
umumnya,umumnya
terdapak,terdampak
pemerintahgimana,pemerintah bagaimana
ridwal,ridwal
lumaya,lumayan
pasilitator,fasilitaror
banprov,banprov
jokowi,jokowi
capekkkkk,capek
dechhhh,ceh
tertentu,tertentu
tida,tidak
membohongi,membohongi
masrakat,masyarakat
tmr,tmr
asalamualaikum,assalamualaikum
bersatu,bersatu
melawan,melawan
coronacovid,corona covid
berduit,berduit
janda,janda
achpercuma,ah percuma
ibu,ibu
kokb,kok
ibarat,ibarat
goa,goa
laut,laut
silakan,silakan
klian,kalian
berteriak,berteriak
haurgeulis,minta maaf
indramayu,indramayu
bakti,bakti
peejuangan,perjuangan
dibalas,dibalas
maha,maha
kuasa,kuasa
anplikasi,aplikasi
pangatahuan,pengetahuan
trobosan,terobosan
brudemi,baru demi
mencegah,mencegah
kebanyakan,kebanyakan
stempat,setempat
kereen,keren
maksud,maksud
baratbangga,barat bangga
kamill,kamil
mdh,mudah
kcwa,kecewa
karan,sekarang
kluarga,keluarga
petanya,petanya
seeing,melihat
boss,bos
ram,ram
kngge,untuk
srng,bersama
darmng,darmng
sadaynaamiinnn,mereka semua amin
teu,tidak
baleg,besar
ningali,melihat
teh,teh
ridean,ridwan
tukang,tukang
kuli,kuli
bangunantp,bangunan tapi
mnang,menang
pamarentah,pemerintah
rwpengurus,rwpengurus
pendaftarannya,pendaftarannya
didaftarkan,didaftarkan
wajar,wajar
menyempurnakan,menyempurnakan
sandi,sandi
kependudukan,kependudukan
lakukan,lakukan
berbasis,berbasis
manualaneh,manual aneh
dehhrus,deh harus
dl,dulu
akunaplikasi,akun aplikasi
ngepreng,ngepreng
daftarnya,daftarnya
initempat,ini tempat
momment,momen
ratting,peringkat
banyaj,banyak
adanyasapawargakita,adanya sapawarga kita
menuhin,memenuhi
tranfaransi,tranparansi
stabil,stabil
stiap,setiap
unaith,unaith
ponsel,ponsel
scroll,scroll
notofikasi,notifikasi
sesudah,sesudah
wdg,wdg
menjanjikan,menjanjikan
awalnya,awalnya
terputuspadahal,terputus padahal
bagusbagai,bagus bagai
megembangkan,mengembangkan
ajuan,pengajuan
bahan,bahan
studi,studi
diterapkan,diterapkan
menambahkan,menambahkan
calon,calon
merespo,merespon
tudak,tidak
errortidak,error tidak
minimal,minimal
lgsng,langsung
informasidan,informasi dan
mengupdate,mengupdate
dimaksimalkan,dimaksimalkan
so,so
par,far
perbaharui,perbaharui
menyambung,menyambung
tambahkn,tambahkan
kependududkan,kependudukan
diserver,di server
menggangu,mengganggu
lamban,lamban
ketidsk,ketidak
sesuaian,sesuaian
diarahkan,diarahkan
passwordnya,passwordnya
double,double
sekalikeluhan,sekali keluhan
tersalurkan,tersalurkan
registrasinya,registrasinya
petunjuknya,petunjuknya
pelajaran,pelajaran
rekan,rekan
baratdengan,barat dengan
korea,korea
jadikan,jadikan
mintolong,admin tolong
gercep,gercep
sangaaaat,sangat
ngobrol,mengobrol
gubernurmantaaap,gubernur mantap
pikiran,pikiran
pedesaan,pedesaan
kecepatannya,kecepatannya
kegiatansaluran,kegiatan saluran
sahat,sehat
mempererat,mempererat
tali,tali
impormasi,informasi
whatsapp,whatsapp
dihub,dihub
birokrasi,birokrasi
hub,hub
tampilannya,tampilannya
kox,kok
pictur,gambar
asfirasi,aspirasi
baratsemoga,barat semoga
pengembangan,pengembangan
terealisasi,terealisasi
ide,ide
mengoptimalkan,mengoptimalkan
bawahrw,bawah rw
sapawargamempermudah,sapawarga mempermudah
usulanusulan,usulan usulan
merasakan,merasakan
bagusbirokrasi,bagus birokrasi
ketertinggalan,ketertinggalan
bar,bar
dalamberkomunikasi,dalam berkomunikasi
pemangku,pemangku
kebijakan,kebijakan
kegiatankegiatan,kegiatan kegiatan
biaa,bisa
terditeksi,terdeteksi
diteruskan,diteruskan
khalayak,khalayak
ramai,ramai
aamiiin,amin
pele,pele
menanggapi,menanggapi
rasa,rasa
silahturahmi,silaturahmi
jarak,jarak
berjauhan,berjauhan
penyampaian,penyampaian
kaaga,tidak
memverifikasi,memverifikasi
membutuhkan,membutuhkan
disalurkannya,disalurkannya
daftarin,daftarkan
rwmknya,rw makanya
doangyg,saja yang
gigit,gigit
rwdengan,rw dengan
sapawargaakan,sapawargaa kan
menyalurkan,menyalurkan
danatau,dan atau
create,buat
account,akun
ditambahkan,ditambahkan
berupa,berupa
syukur,syukur
terbukanya,terbukanya
dimasukan,dimasukan
seorang,seorang
sapawargasemua,sapawarga semua
disinisemoga,disini semoga
terbukasemoga,terbuka semoga
bergabung,bergabung
tambahan,tambahan
prihal,perihal
konten,konten
semuajd,semua jadi
at,at
pendaftaranya,pendaftarannya
ribeut,ribet
ceklis,cek list
jembatan,jembatan
mmbutuhkn,membutuhkan
perluas,perluas
semoaga,semoga
pelayanannya,pelayanannya
posisi,posisi
berada,berada
terpencil,terpencil
apdi,abdi
mata,mata
duitan,duitan
aktivitas,aktivitas
menampungmenjembatani,menampung menjembatani
priositaskan,priositaskan
dulur,laki
dulurna,laki
hela,hela
gaspol,ayo
percayabismillah,percaya bismillah
dukungan,dukungan
amiiin,amin
kalicuma,kali cuma
provjabar,provinsi jabar
option,opsi
camera,kamera
tersampaikan,tersampaikan
registrasi,registrasi
terbatu,terbantu
kepntingan,kepentingan
spektakuler,spektakuler
terhubung,terhubung
membantusaranfitur,membantu saran fitur
photo,foto
memasukan,memasukan
passwordtapi,password tapi
jawabaratteimakasih,jawa barat terimakasih
kegiatannya,kegiatannya
dimonitoring,dipantau
inibisa,ini bisa
persaudaraanaamiin,persaudaraan amin
alat,alat
medsos,medsos
bagikami,bagi kami
mengkse,nanti
mebatu,membantu
himbauan,himbauan
pk,pk
sampaikn,sampaikan
alhamdllah,alhamdulillah
pimpianan,pimpinan
mhon,mohon
kedepanya,kedepannya
informasikan,informasikan
yh,yah
ribut,ribut
masyarakatsemrawut,masyarakat kacau
kecemburuan,kecemburuan
pengetahuansukses,pengetahuan sukses
pakarena,karena
pokonya,pokoknya
istebes,terbaik
mengusukan,mengusulkan
futuristik,futuristik
juar,juara
penebar,penebar
akunpas,akun pas
centang,centang
doanghadehh,saja aduh
perna,pernah
koroma,corona
memangkas,memangkas
urgent,darurat
mantafff,mantap
qta,kita
kejabaranya,kejabarannya
hridwan,ridwan
silaturrahim,silaturahmi
rwbse,rw bisa
kitabisa,kita bisa
rwantar,rw antar
membantuterimakasih,membantu terimakasih
jabarterimakasih,jabar terimakasih
emiljabar,emil jabar
alhmdulillah,alhamdulillah
banprop,banprov
kpl,kpl
hubungan,hubungan
yeh,yah
responadmin,respon admin
kamana,kemana
sare,sare
pelaporn,pelaporan
kegiatn,kegiatan
kesejahteraan,kesejahteraan
tingktkn,tingktkan
sungat,sangat
masing,masing
urwga,urwga
kemasyarakatapa,ke masyarakat apa
percaya,percaya
informasinyajadi,informasinya jadi
hisa,bisa
berakhlak,berakhlak
pemimpinya,pemimpinnya
memikirkan,memikirkan
rob,rob
nhun,terimakasih
dirasakan,dirasakan
mensosialisasikan,mensosialisasikan
lingkunganterimakasih,lingkungan terimakasih
jalur,jalur
pertamatama,pertama
membuatnya,membuatnya
peunting,penting
deumi,demi
keumajuan,kemajuan
seukitar,sekitar
seringkali,seringkali
disembunyikan,disembunyikan
